UIDN,OIDN,Ondernemingsnr,Maatschappelijke_naam,Commerciele_naam,Afgekorte_naam,Ondernemingsnr_maatsch_zetel,Type_onderneming,Rechtsvorm,Rechtstoestand,KBO_Straat,KBO_Huisnr,KBO_Busnr,KBO_Postcode,KBO_Gemeente,AR_straat,AR_huisnr,AR_busnr,AR_postcode,NACE_hoofdact_BTW,NACE_versie_BTW,Omschrijving_hoofdact_BTW,Aantal_hoofdact_BTW,NACE_hoofdact_RSZ,NACE_Versie_RSZ,Omschrijving_hoofdact_RSZ,Aantal_Hoofdact_RSZ,Personeelsklasse,Datum_inschrijving,Startdatum,longitude,latitude
4563209,4061998,0415708742,FOOTBALL CLUB KONINGSHOF, , , ,Rechtspersoon,Naamloze vennootschap,Normale toestand,Zilverstraat,53, ,2900,Schoten,Zilverstraat,53, ,2900, , , ,0, , , ,0, ,2003-01-18T00:00:00Z,1975-09-16T00:00:00Z,4.52738857,51.2662707
4647135,4144056,2285533695,SDG-consultancy,SDG-consultancy, ,0719273014, , , ,Gelmelenstraat,204, ,2900,Schoten,Gelmelenstraat,204, ,2900, , , ,0, , , ,0, ,2019-02-25T00:00:00Z,2019-01-23T00:00:00Z,4.49742303,51.25601848
4648876,4145710,2285858349,siSYSTEMS, , ,0809024441, , , ,Zilverstraat,31, ,2900,Schoten,Zilverstraat,31, ,2900, , , ,0, , , ,0, ,2019-03-04T00:00:00Z,2009-01-12T00:00:00Z,4.52569315,51.26417511
4649309,4146118,2285911304,"Nuis, Cornelia",Firma Nuis, ,0721851333, , , ,Alice Nahonlei,68, ,2900,Schoten,Alice Nahonlei,68, ,2900, , , ,0, , , ,0, ,2019-03-05T00:00:00Z,2019-01-02T00:00:00Z,4.5380176,51.26142131
4666982,4162831,2288075392,COJA,COJA, ,0725606718, , , ,Alfons Servaislei,53, ,2900,Schoten,Alfons Servaislei,53, ,2900, , , ,0, , , ,0, ,2019-04-24T00:00:00Z,2003-01-28T00:00:00Z,4.52642987,51.2547484
4669403,4165114,2288443497,DRT,DRT, ,0725939585, , , ,Heidebloemlei,48, ,2900,Schoten,Heidebloemlei,48, ,2900, , , ,0, , , ,0, ,2019-05-02T00:00:00Z,2014-12-02T00:00:00Z,4.51585838,51.25672781
4669996,4165662,2288652147,BMS,BMS, ,0726452301, , , ,Eekhoornlei,14, ,2900,Schoten,Eekhoornlei,14, ,2900, , , ,0, , , ,0, ,2019-05-06T00:00:00Z,2018-04-30T00:00:00Z,4.52603358,51.26126615
4676994,4172442,2288161407,SKYLINE,SKYLINE, ,0725680358, , , ,Horstebaan,165, ,2900,Schoten,Horstebaan,165, ,2900, , , ,0, , , ,0, ,2019-04-25T00:00:00Z,2013-04-15T00:00:00Z,4.48078521,51.25946793
4679690,4175138,2288833081,H.SELS,H.SELS, ,0726614726, , , ,Ransuildreef,4, ,2900,Schoten,Ransuildreef,4, ,2900, , , ,0, , , ,0, ,2019-05-09T00:00:00Z,2014-03-03T00:00:00Z,4.52005646,51.24721621
4680839,4176287,2286627619,MA2BIKA,MA2BIKA, ,0723441935, , , ,Louis Vervoortlaan,28, ,2900,Schoten,Louis Vervoortlaan,28, ,2900, , , ,0, , , ,0, ,2019-03-21T00:00:00Z,2018-10-12T00:00:00Z,4.48172942,51.25549305
4681472,4176920,2287653344,FAMILIE VERHOEVEN – SLEURS,FAMILIE VERHOEVEN – SLEURS, ,0724834775, , , ,Beatrijslaan,2, ,2900,Schoten,Beatrijslaan,2, ,2900, , , ,0, , , ,0, ,2019-04-11T00:00:00Z,2017-04-19T00:00:00Z,4.51973441,51.26126414
